field_id,field_id,precip,min_temp,max_temp,mean_temp
1092,1092,134.1,5.4,72.6,44.45000000000001
3462,3462,150.29999999999987,9.9,73.9,47.80000000000005
3699,3699,176.58,9.8,73.1,48.35000000000001
4557,4557,236.22000000000023,15.2,74.1,51.36666666666666
4797,4797,170.04000000000013,12.6,74.0,50.54166666666666
4871,4871,115.43999999999988,22.9,78.6,54.59166666666665
5132,5132,253.19999999999993,20.5,75.6,53.833333333333336
5203,5203,261.84,18.8,75.4,53.18333333333336
5554,5554,226.08000000000018,25.1,78.1,56.84166666666667
5608,5608,180.7199999999999,24.8,80.3,57.22500000000004
